,text,true_labels,predicted_labels
0,some times it will work slow and conduct the current on it,2,2
1,nice,0,0
2,very nice one,0,0
3,good,0,0
4,good,0,0
5,dont like product,1,1
6,affordable,0,2
7,good,0,0
8,looking wise nice but not good quality clothes,2,1
9,ok google,2,2
10,cheap product,2,1
11,weight lesscloth not stiff,2,2
12,worst shopping website,1,1
13,very bad,1,1
14,one day use,2,2
15,stitches came out within few months of usage,2,2
16,best,0,0
17,it is makwas barbaading of money,1,2
18,nice,0,0
19,avarage not much soft as expected,2,2
20,good,0,0
21,worst performance evernot durable dont buy at alll,1,1
22,okok,2,2
23,very nice products,0,0
24,received dalay 10 days cooler is ok when i was reveived switch damaged,1,1
25,waste products dont buy waste packing toooooooo late delivery,1,1
26,low quality and more damage dont buy this product,1,1
27,good products,2,0
28,ok,2,2
29,very smooth and very nice,0,0
30,dont buy this product within 15 year wind blade was broken and noise issue wind blow very low its better to go other brand,1,1
31,its small in size,2,2
32,heating time is lowwater,2,1
33,very low quality,1,1
34,not that much good,1,1
35,cheap quality,2,2
36,this cooler is wonderful i would say best desert cooler but do not buy it from flipkart at all they will pack it in worst way possible and their delivery guys will keep it in tampo with lots of load on iti received it as broken productand i know how difficult it was to get replacement in time their customer care representative gets payed only to apologize supervisormanagers even case escalate managers will have only sorry to share with youbuy this cooler but not from flipkart,1,1
37,bad quality,1,1
38,awesome,0,0
39,bad quality,1,1
40,very nice product,0,0
41,average,2,2
42,ok,2,2
43,sooper product,2,2
44,good,0,0
45,dont buy it i think waste of money,1,1
46,good productbuying worst,1,1
47,average,2,2
48,very poor quality,1,1
49,good product,0,0
50,good quality canon but in side no memory card,1,1
51,ok,2,2
52,good,0,0
53,good but light weight,2,0
54,filling of microfiber was less than required but your picture of the same looked greatalso sticking was inferior with ends of stitching hanging,1,1
55,very good product,0,0
56,dont like,1,1
57,ok,0,2
58,product satisfactory packaging very baddelivery not satisfactory the product is good but problem with the delivery partner all the cushions are shrunk they did not properly pack they packed in a plastic bag which was not enough to protect them from the weighted other products,1,1
59,worst,1,1
60,dark colour long lasting,2,2
61,very nice product thnku flipcart,0,0
62,ek number tshirt5 star,0,2
63,very cheap product,2,1
64,u can buy it without any doubt,0,2
65,good product,0,0
66,its ok but not excellent,2,1
67,very bad quality,1,1
68,nice canon camera very enjoy tha all place,0,0
69,best cooling in room,0,0
70,overall very goodbut warranty card 3 month ago,2,2
71,extent osm,2,0
72,osm product,2,0
73,very worst product for this price no air push and whole product has lot of scratches along with motor covered with tape which covers maker details main issue is no cooling and defected product no cooling less air throw and lot of defected plastic body that needs a refund for this order very very unhappy with the product as it has lot of issues,1,1
74,nice product worth for money,0,0
75,bad,1,1
76,oook,2,2
77,fabric is not good,1,2
78,good,2,0
79,small size,2,2
80,super,0,0
81,cargo looking quality just ok and both side pocket one side pocket missing not worth for money,1,2
82,basic dslr,2,2
83,ok,2,2
84,overall ok,2,2
85,very good product,0,0
86,not bad,2,2
87,dinner plates size is small,2,2
88,nice,0,0
89,ok product,2,2
90,too thin,2,2
91,not a good product,1,1
92,poor quality,1,1
93,cooler is averagefan speed is high which cause a little bit noise but youll get use to itcooling is ok depend on weather not water in the tankthe worst thing is no wheels,2,1
94,super fast cattle,0,0
95,average quality ok product,2,2
96,good quality,0,0
97,super,0,0
98,very nice product,0,0
99,all threads are coming out from the stitching highly disappointed,1,1
100,no battery backup,1,1
101,cargo looking quality just ok and both side pocket one side pocket missing not worth for money,1,2
102,used one flash not working,1,2
103,absolutely useless product please never buy it even after technician coming and checking that the product was not working still the exchange was not accepted a big scam by flipkart total disgrace,1,1
104,poor quality worthless really,1,1
105,gud quality,2,1
106,i m using this brand for last 5 years curtain look are same when i bought only 3 rings and ring back material are get worseotherwise excillent product of this price range,2,1
107,very nice,0,0
108,cheap price and performance,2,2
109,bad product no thickness cloth,1,1
110,amazing,0,0
111,average,2,2
112,dont buy this camera it does not support all external flashes this camera only support ttl,1,1
113,very usefull for for all specially child students,0,0
114,average product,2,2
115,very good product,0,0
116,product is ok but it doesnt fullfill my satisfaction,1,2
117,nice,0,0
118,good,0,0
119,very bad qualities,1,1
120,very comfortable,0,0
121,excellent,0,0
122,super,0,0
123,ok,2,2
124,3rd classs,2,2
125,nice,0,0
126,good,0,0
127,good,0,0
128,very good product easy to install value for money,0,0
129,nyc camera,2,2
130,dont buy this one worst product,1,1
131,nice look and product is good but size of plates is not comfortable for dinner its small in size,1,2
132,hindi language not understand properly,2,2
133,i was planning to get this from so long and at this price is like gem sharing some sample pictures which i have clicked in portrait mode highly recommended,0,0
134,loved it,0,0
135,very good,0,0
136,flipkart delivered crompton desert air cooler 88 litres well before the schedule date before buying i compared with bajaj desert coolers here crompton seems to be much better based on the fan speed and quality water tank capacity of 88 litres is much needed crompton gives honey comb cooling pads for better cooling compared to wood wool it cools the room efficiently which makes us much comfortable in summer of chennai city,0,0
137,just bought it on the offer period for 16800 the product is well worth for the price i believe this is my first dslr so i think i may be exaggerating but its a good buyvisually the build quality has a premium quality the quality of the images are good rich and vibrant although there is considerable amount of noise in them especially in artificial lighting conditions buy a prime lens if you want the best quality photos from this one the buttons are tactile but the screen is be,0,0
138,nice quality,0,0
139,superb,2,0
140,ok,2,2
141,cooler body is very weak,1,2
142,fabric quality very bad,1,1
143,colour not sameproduct is not goodim not satisfied,2,1
144,okk,2,2
145,not good not buy waste of money,1,1
146,picture quality is ok,2,2
147,ok,2,2
148,product is wonderful full but delivery by flipkart was not on time this time i faced to much problem from flipkart delivery,1,2
149,ok,2,2
150,nice,0,0
151,product was okey,2,2
152,focus on this camera is not good,1,2
153,quality bagaleduvery bad smell,1,1
154,ok,2,2
155,good,0,0
156,betar,1,2
157,very worst failure model of canon not worth for money choose another model quality of pic is not nice and features are less,1,1
158,nyc and quality,2,2
159,good product quantity,0,0
160,too small for having dinner,2,2
161,its not good poor quality product,1,1
162,not good,1,1
163,not satisfied with the quality,1,1
164,ok,2,2
165,late delivery average product it sounds so much,2,2
166,too small,2,2
167,sometimes voice matching is not accurate and lots of time unable to find songs and searches,2,1
168,meet the expectations,2,0
169,very good,0,0
170,super,0,0
171,average,2,2
172,awesome product thanks flipkart,0,0
173,good product,0,0
174,nice product,0,0
175,its not good,1,1
176,superr,2,0
177,product is good but 2 bouls are broken,1,1
178,product was not up to the mark,1,2
179,very nice,2,0
180,satisfied,0,0
181,nice,0,0
182,size is not proper,1,2
183,product is not same as shown in figure,2,1
184,toooo tight at legs,2,2
185,fabric is so thin,2,2
186,good quality,0,0
187,very niceproduct,2,0
188,nyc,2,2
189,value for money average,2,2
190,a class product from google,0,2
191,the product is quite handy especially if you want to do the daily things in smart way it really get collaborated with your other devices very well first of all the process of configuration is quite easy but in my case it was not pairing easily so i had to remove the security of wifi router and then i paired with google home android app after that it works like charm you can ask in both languages ie english and hindi it is quite compact and can be used in variety of locationsin,0,0
192,after one wash lints came worst,2,1
193,light weight iron box,2,1
194,quality reting 70 out of 100not excellent,2,2
195,very nice quality i loved it,0,0
196,ok,2,2
197,super,0,0
198,very poor matrial quality and color feel very vwry bad,1,1
199,nice product,0,0
200,awesome product,0,0
201,nice,0,0
202,good product excellent voice clarity easy to manage home smart devices,0,0
203,this cooler is very nice very nice loved it,0,0
204,good product,0,0
205,good,0,0
206,great packaging by seller as this was the most important point while transportation from jaipur to chennai secondly product is quite huge and air throw is very much nearly 13ft at 2 speed and will give good breeze cooling is satisfying due to honeycomb cooling media no need of filling water daily price is high but product is quite satisfactory compared to others only drawback is the motor power is 190 w rather than 220w which should be coorected on specs information on flipkart good j,0,0
207,big size,1,2
208,not working properly,1,2
209,very soft,0,2
210,very nice,0,0
211,nice,0,0
212,plates sizes are very small,2,2
213,all are broken item i returned it but exchange item are also broken waste of money price is to high,1,1
214,its a google product dont expect a premium speaker effects its does its job,2,2
215,good,0,0
216,not good,1,1
217,a little bit long but it can be fold according to ur wishreally gorgious such a low price must buy itbut only thing is that curtains are too long for 7fthv to fold according to ur need,2,1
218,very bad product,1,1
219,size not good,1,1
220,size not parfect,2,2
221,flipkart delivery very nice and product in this time good,0,0
222,its not owsam camra in this price,2,2
223,ok,2,2
224,good ig worth for money,0,0
225,quite awesome,0,0
226,not satisfied heat more,1,1
227,good product,0,0
228,good product,0,0
229,bad points no bags memory card given with the product doesnt have port to connect mic not suitable for video recodinggood point picture quality is nice with this dslr price is much less compared to other camera purchased on bbd 2021,1,1
230,good,0,0
231,normal quality normal quality products,2,2
232,good product thanks,0,0
233,simple super,0,0
234,very stylish product,2,2
235,received broken cooler,1,1
236,not good,1,1
237,average got smell using 2 times after filling water,2,2
238,thread quality not good,1,1
239,nice camera for the beginners,0,0
240,best product,0,0
241,not good,1,1
242,same as picture,2,2
243,length is not good,1,1
244,just started,2,2
245,broken product,1,1
246,not long lasting,1,1
247,bad,1,1
248,very very bad product,1,1
249,iron dead under 15days,1,2
250,not bad,2,2
251,superb,0,0
252,not badok ok,2,2
253,it is goodbut when i apply it break,1,2
254,no return policy not much useful,1,1
255,colour is poor but not bad,2,1
256,bad shirt,1,1
257,low qualitywasted of money,1,1
258,color is dual,2,2
259,low quality thing its written room darkening but its transperant,1,1
260,at this point of price the product is recommended,0,0
261,average,2,2
262,good,0,0
263,not good at all,1,1
264,quality so much bad dont like,1,1
265,nice working product,2,0
266,giving review after 2 year uses,0,1
267,product is good but the delivery boy is not willing to come to near home i went around half kilometre to take my parcel this type of attitude of delivery agent is not acceptable,1,1
268,good,0,0
269,damaged product,1,1
270,bad,1,1
271,mp,2,2
272,good,0,0
273,user friendly for beginner,0,2
274,very good quality product thank you flipkart,0,0
275,excellent music bass so small but big work thanks google,0,0
276,not nice please dont order,1,1
277,good product,0,0
278,good,0,0
279,poor,1,1
280,nc,0,2
281,print has gone in first wash,2,2
282,bed,1,1
283,okk,2,2
284,always shows not connected till date i cant hear a single song worst product,1,1
285,good quality,0,0
286,do not buy this product the switch is not working within a month very poor quality products dont suggest anyone for this product,1,1
287,waste productdont buy it,1,1
288,really good,0,0
289,ok,2,2
290,superb quality thankyou so much,0,0
291,filling is insufficient and hence it lacks firmness i had bought similar ones at this same price point in feb 2022 which are still holding very well but am completely disappointed with this,1,1
292,ok,2,2
293,this product very niche,2,2
294,good,0,0
295,average product,2,2
296,camera is good but not that much i expected picture quality average,0,2
297,very thin cloth,2,2
298,good,0,0
299,delivery boy is good and nice products,0,0
300,size is medium,2,2
301,good quality,0,0
302,air delivery is very bad not even cooling 10x13 room,1,1
303,flattened within 3 months,1,2
304,good,0,0
305,very bad product,1,1
306,its very easy to use i can have everything to eat i can play music by asking it,0,0
307,okkk,2,2
308,gd,0,2
309,osm,0,2
310,gud product,2,0
311,fabric is soft and lyt wieght but stiching is not so gudjust ok ok,1,2
312,nice product a include battery will be helpful,0,0
313,bed product,1,1
314,take a picture,2,2
315,too small and not strong,1,1
316,basic camera,2,2
317,room was not brightening with that some what low quality,1,1
318,bad quality,1,1
319,device wont start shows 4 red dots and then nothing happens,1,2
320,good,0,0
321,quality is bad,1,1
322,best product,0,0
323,very bad,1,1
324,nice product,0,0
325,really good product worth the money go for it without any doubt,0,0
326,amazing device working in any language i loved it,0,0
327,ok,2,2
328,speak loudly,2,2
329,not good,1,1
330,dont buy anyonesmall katora which is unstable for any guest to serve,1,1
331,jus ok,2,2
332,its same as in image baki after using will give reviews,2,0
333,quality is disappointing me,1,1
334,its ok,2,2
335,wastu product dont buy this one star is not worth for this product,1,1
336,too small,2,2
337,very good cooler feeling like ac in summer,0,0
338,ok not bad,2,2
339,we get dammage product,1,2
340,osm,0,2
341,fabric quality worst,1,1
342,ok,2,2
343,cant generate heat,1,1
