,text,true_labels,predicted_labels
0,there was a minor stain on the fabric but nothing major,2,2
1,lekme kajal is my go to eyeliner its amazing,0,0
2,fitting is very good,0,0
3,very good product,0,0
4,the handle feels comfortable to hold but could benefit from a softer grip for long use,2,2
5,very bad,1,1
6,very good quality,0,0
7,not that much of productive but okay,2,2
8,not bad,2,2
9,no bluetooth connectivity in 2021 insane google assistant rest all is fine,2,2
10,very usefull for for all specially child students,0,0
11,its good for light fabrics but not the best,2,2
12,nice prodect but has some flaws,2,2
13,amazing product recognizes voice every time,0,0
14,this product can use only for water heating not for tea or coffee making,2,2
15,its ok,2,2
16,its an okay product its easy to use but the color doesnt stay vibrant for long,2,2
17,poor quality,1,1
18,very nice,0,0
19,average product could be used for sofas,2,2
20,worth it,0,0
21,delivery boy behavior is not good disappointed,1,1
22,the design is plain but works for a simple look,2,2
23,absolutely fantastic product cello brand with best price thank you daraz,0,0
24,received dalay 10 days cooler is ok when i was reveived switch damaged,1,2
25,excellent super,0,0
26,poor quality,1,1
27,average,2,2
28,ok ok not so use full,2,2
29,very nice,0,0
30,dont buy this product within 15 year wind blade was broken and noise issue wind blow very low its better to go other brand,1,1
31,designs and textures are just okay not impressive,2,2
32,old product but good overall,2,2
33,it is a very bad quality,1,1
34,found broken,1,1
35,the connection wire is short but its ok,2,2
36,this cooler is wonderful i would say best desert cooler but do not buy it from flipkart at all they will pack it in worst way possible and their delivery guys will keep it in tampo with lots of load on iti received it as broken productand i know how difficult it was to get replacement in time their customer care representative gets payed only to apologize supervisormanagers even case escalate managers will have only sorry to share with youbuy this cooler but not from flipkart,1,1
37,the material feels cheap and started fading after just a couple of washes very disappointing,1,1
38,awesome,0,0
39,worst quality,1,1
40,good quality,0,0
41,its very big,2,2
42,satisfactory product not so impressive as its life is too short,2,1
43,awsome product,0,0
44,amazing,0,0
45,not suitable for who dont have wifi connection in home google can assist the is only 50,1,1
46,bad product do not buy it,1,1
47,average,2,2
48,very poor quality,1,1
49,good product,0,0
50,very worst failure model of canon not worth for money choose another model quality of pic is not nice and features are less,1,1
51,was good but the joining are very poor,2,1
52,good,0,0
53,product quality is normal consume lot of time to take heating,2,2
54,bad quality,1,1
55,these plates are a great addition to my kitchen they are durable and look great the size is perfect and they have a nice weight to them overall a great buy,0,0
56,i dont like it,1,1
57,they provide great flexibility and comfort for all day use,0,0
58,product is as good as expacted but i hd got open packed very bad packaging,2,1
59,waste of money,1,1
60,average product,2,2
61,very nice product thnku daraz,0,0
62,nice,0,0
63,baad quality,1,0
64,the quality is great and the style is perfect,0,0
65,awesome iron its working performance is very good iam satisfied,0,0
66,normal,2,2
67,leakage starts in 15 days of use only in 56 months stop working too cheap product,1,1
68,good enough for the starters of dslr users,0,0
69,good,0,0
70,overall very good but with warranty of only 3 month,2,2
71,good,0,0
72,simple quality not impressive,2,1
73,very worst product for this price no air push and whole product has lot of scratches along with motor covered with tape which covers maker details main issue is no cooling and defected product no cooling less air throw and lot of defected plastic body that needs a refund for this order very very unhappy with the product as it has lot of issues,1,1
74,its not the best kajal ive used but its not the worst either it works well for basic use,2,2
75,not waterproof and long lasting at all,1,1
76,this kajal didnt work for me it smudges almost immediately and fades way too fast,1,1
77,fabric is not good,1,1
78,its ok,2,2
79,the iron does the job but nothing special,2,2
80,very poor finishing,1,1
